question,answer
Comment le règlement sur l'IA régit-il l'identification biométrique?,"Il est interdit d'utiliser, à des fins répressives, l'identification biométrique à distance en temps réel dans des espaces accessibles au public (c'est-à-dire la reconnaissance faciale par des caméras de télévision en circuit fermé). Les États membres peuvent toutefois introduire, par voie législative, des exceptions qui permettraient l'utilisation de l'identification biométrique à distance en temps réel dans les cas suivants: les activités répressives concernant 16 infractions très graves déterminées; la recherche ciblée de certaines victimes, en cas d'enlèvement, de traite et d'exploitation sexuelle d'êtres humains, et de personnes disparues; ou la prévention d'une menace pour la vie ou la sécurité physique de personnes, ou la réaction à une menace actuelle ou prévisible d'attaque terroriste. Toute utilisation exceptionnelle sera subordonnée à une autorisation préalable octroyée par une autorité judiciaire ou une autorité administrative indépendante dont la décision sera contraignante. En cas d'urgence, cette autorisation pourra être délivrée dans les 24 heures; si l'autorisation est refusée, toutes les données et les sorties devront être supprimées. Une analyse d'impact sur les droits fondamentaux devra être réalisée au préalable et être notifiée à l'autorité de surveillance du marché concernée et à l'autorité chargée de la protection des données. En cas d'urgence, il sera possible de commencer à utiliser le système sans enregistrement. L'utilisation de systèmes d'IA pour l'identification biométrique à distance a posteriori (identification de personnes dans du contenu collecté auparavant) de personnes faisant l'objet d'une enquête sera subordonnée à l'autorisation préalable d'une autorité judiciaire ou d'une autorité administrative indépendante ainsi qu'à la notification aux autorités concernées chargées, respectivement, de la protection des données et de la surveillance du marché."
Pourquoi faut-il des règles particulières pour encadrer l'identification biométrique à distance?,"L'identification biométrique peut prendre différentes formes. L'authentification et la vérification biométriques, par exemple pour déverrouiller un smartphone ou dans le cadre de la vérification/de l'authentification aux points de passage frontaliers pour vérifier que l'identité d'une personne correspond à celle indiquée sur ses documents de voyage (comparaison «un à un»), demeurent non réglementées car elles ne présentent pas de risque substantiel pour les droits fondamentaux. À l'inverse, l'identification biométrique, qui peut également être utilisée à distance, par exemple pour identifier des personnes dans une foule, peut avoir une incidence considérable sur la vie privée dans l'espace public. L'exactitude des résultats des systèmes de reconnaissance faciale peut être fortement influencée par toute une série de facteurs, tels que la qualité de la caméra, la lumière, la distance, la base de données, l'algorithme ainsi que l'appartenance ethnique, l'âge ou le sexe de l'individu. Il en va de même pour la reconnaissance de la voix ou de la démarche et les autres systèmes biométriques. Le taux de fausses acceptations des systèmes hautement avancés est en diminution constante. Si un taux de 99 % de résultats exacts peut sembler satisfaisant de manière générale, il n'en présente pas moins un risque élevé si le résultat peut conduire à soupçonner un innocent. Même un taux d'erreur de 0,1 % peut avoir une incidence importante lorsqu'il s'applique à un grand nombre de personnes, par exemple dans les gares ferroviaires."
Comment les règles protègeront-elles les droits fondamentaux?,"Bien qu'il existe déjà une solide protection en faveur des droits fondamentaux et contre les discriminations au niveau de l'UE et des États membres, la complexité et l'opacité de certaines applications d'IA («boîtes noires») peuvent poser problème. Une approche de l'IA centrée sur l'humain implique de veiller à ce que les applications d'IA respectent la législation relative aux droits fondamentaux. En intégrant des exigences de responsabilité et de transparence dans le développement des systèmes d'IA à haut risque et en améliorant les capacités de contrôle de l'exécution de ces exigences, nous pouvons faire en sorte que l'obligation de conformité à la législation soit, dès le départ, inhérente à la conception de ces systèmes. En cas d'infraction, les autorités nationales auront accès, du fait de ces exigences, aux informations nécessaires pour enquêter et vérifier si l'IA a été utilisée dans le respect du droit de l'UE. En outre, le règlement sur l'IA soumet certains déployeurs de systèmes d'IA à haut risque à l'obligation de procéder à une analyse d'impact sur les droits fondamentaux."
Qu'est-ce qu'une analyse d'impact sur les droits fondamentaux? Qui doit procéder à une telle analyse d'impact et quand?,"Les fournisseurs de systèmes d'IA à haut risque sont tenus de réaliser une évaluation des risques et de concevoir leurs systèmes de façon à ce que les risques pour la santé, la sécurité et les droits fondamentaux soient réduits au maximum. Toutefois, certains risques pour les droits fondamentaux ne peuvent être pleinement identifiés que si le contexte de l'utilisation du système d'IA à haut risque est connu. Lorsque des systèmes d'IA à haut risque sont utilisés dans des domaines particulièrement sensibles présentant une éventuelle asymétrie de puissance, une plus grande prise en considération de ces risques est nécessaire. Par conséquent, les déployeurs qui sont des organismes de droit public ou des opérateurs privés prestataires de services publics ainsi que les opérateurs fournissant des systèmes d'IA à haut risque qui effectuent des évaluations de solvabilité ou des évaluations des tarifs et des risques en matière d'assurance-vie et d'assurance maladie, devront procéder à une analyse d'impact sur les droits fondamentaux et en notifier les résultats à l'autorité nationale. Dans la pratique, de nombreux déployeurs devront également réaliser une analyse d'impact relative à la protection des données. Afin d'éviter des chevauchements substantiels en pareils cas, l'analyse d'impact sur les droits fondamentaux devra être menée conjointement avec celle relative à la protection des données."
Comment le règlement sur l'IA traite-t-il le problème des biais sexistes ou raciaux dans le cadre de l'IA?,"Il est essentiel de souligner que les systèmes d'IA ne créent pas ni ne reproduisent de biais. Au contraire, bien conçus et utilisés, les systèmes d'IA peuvent contribuer à réduire les discriminations structurelles et les biais existants, et conduire ainsi à des décisions plus équitables et non discriminatoires (par exemple en matière de recrutement). Les nouvelles exigences contraignantes qui s'appliqueront à tous les systèmes d'IA à haut risque serviront cet objectif. Il faut que les systèmes d'IA soient techniquement robustes afin qu'ils soient adaptés à leur finalité et ne produisent pas de résultats biaisés, tels que de faux positifs ou négatifs, qui touchent de manière disproportionnée les groupes marginalisés, notamment des résultats biaisés fondés sur l'origine raciale ou ethnique, le sexe, l'âge et d'autres caractéristiques protégées. Il faudra également que les systèmes d'IA à haut risque soient entraînés et testés sur la base d'ensembles de données suffisamment représentatifs, afin de réduire au minimum le risque de biais injustes dans la conception même du modèle et de permettre un traitement adéquat de ces biais par des mesures de détection et de correction appropriées et par d'autres mesures d'atténuation. Ces systèmes d'IA devront aussi être traçables et auditables, d'où la nécessité de conserver une documentation appropriée, y compris les données utilisées pour entraîner l'algorithme, essentielles pour toute enquête a posteriori. Un système de vérification de la conformité avant et après mise sur le marché devra garantir une surveillance régulière de ces systèmes d'IA et un traitement rapide des risques potentiels."
Quand le règlement sur l'IA sera-t-il pleinement applicable?,"Le règlement sur l'IA s'appliquera deux ans après son entrée en vigueur, le 2 août 2026, à l'exception des dispositions particulières suivantes: les interdictions, définitions et dispositions relatives à la maîtrise de l'IA s'appliqueront six mois après l'entrée en vigueur, le 2 février 2025; les règles de gouvernance et les obligations en matière d'IA à usage général seront applicables 12 mois après l'entrée en vigueur, le 2 août 2025; les obligations applicables aux systèmes d'IA à haut risque qui sont classés comme étant à haut risque parce qu'ils sont intégrés dans des produits réglementés, énumérés à l'annexe II (liste d'actes législatifs d'harmonisation de l'Union), s'appliqueront 36 mois après l'entrée en vigueur, le 2 août 2027."
Comment fera-t-on respecter le règlement sur l'IA?,"Le règlement sur l'IA établit un système de gouvernance à deux niveaux, au sein duquel les autorités nationales sont chargées de superviser et de faire respecter les règles applicables aux systèmes d'IA, tandis que les modèles d'IA à usage général relèvent de la gouvernance de l'UE. Afin de garantir la cohérence et la coopération à l'échelle de l'UE, le Comité européen de l'intelligence artificielle («Comité IA») sera créé et sera constitué de représentants des États membres;il établira, en outre, des sous-groupes spécialisés pour les régulateurs nationaux et d'autres autorités compétentes. Le Bureau de l'IA, l'organe de mise en œuvre du règlement sur l'IA de la Commission, fournira des orientations stratégiques au Comité IA. En outre, le règlement sur l'IA institue deux organes consultatifs chargés de fournir une expertise: le groupe scientifique et le forum consultatif. Ces instances offriront des informations précieuses émanant de parties prenantes et de communautés scientifiques interdisciplinaires, qui éclaireront la prise de décision et favoriseront une approche équilibrée du développement de l'IA."
Pourquoi est-il nécessaire de créer un Comité européen de l'intelligence artificielle et quel sera son rôle?,"Le Comité européen de l'intelligence artificielle sera constitué de représentants de haut niveau des États membres et du Contrôleur européen de la protection des données. En tant que principale instance de conseil, le Comité IA fournira des orientations sur toutes les questions liées à la politique en matière d'IA, notamment en ce qui concerne la réglementation de l'IA, la politique d'innovation et d'excellence et la coopération internationale sur l'IA. Le rôle du Comité IA est crucial pour assurer la mise en œuvre aisée, efficace et harmonisée du règlement sur l'IA. Le Comité fera office de forum au sein duquel les régulateurs de l'IA, à savoir le Bureau de l'IA, les autorités nationales et le CEPD, pourront coordonner l'application cohérente du règlement sur l'IA."
Quelles seront les sanctions en cas d'infraction?,"Les États membres devront instaurer des sanctions effectives, proportionnées et dissuasives en cas de violation des règles applicables aux systèmes d'IA. Le règlement fixe des seuils qui devront être pris en considération: jusqu'à 35 millions d'EUR ou 7 % du chiffre d'affaires annuel mondial total réalisé au cours de l'exercice précédent (le montant le plus élevé étant retenu) en cas d'infractions correspondant à des pratiques interdites ou à un non-respect des exigences relatives aux données; jusqu'à 15 millions d'euros ou 3 % du chiffre d'affaires annuel mondial total réalisé au cours de l'exercice précédent en cas d'inobservation d'une des autres exigences ou obligations prévues par le règlement; jusqu'à 7,5 millions d'EUR ou 1,5 % du chiffre d'affaires annuel mondial total réalisé au cours de l'exercice précédent si des informations inexactes, incomplètes ou trompeuses ont été fournies aux organismes notifiés ou aux autorités nationales compétentes en réponse à une demande; pour chaque catégorie d'infraction, le seuil sera le plus faible des deux montants pour les PME et le plus élevé des deux pour les autres entreprises. La Commission peut également faire respecter les règles relatives aux fournisseurs de modèles d'IA à usage général en infligeant des amendes, en tenant compte du seuil suivant: jusqu'à 15 millions d'euros ou 3 % du chiffre d'affaires annuel mondial total réalisé au cours de l'exercice précédent en cas de non-respect d'une des autres obligations ou mesures exigées par la Commission en vertu du règlement. Parce que les institutions, agences et organes de l'Union sont censés montrer l'exemple, ils devront également se conformer aux règles et pourront encourir des sanctions. Le Contrôleur européen de la protection des données aura le pouvoir de leur infliger des amendes en cas de non-respect de ces règles."
Comment le code de bonne pratique de l'IA à usage général sera-t-il élaboré?,"L'élaboration de ce premier code obéit à un processus inclusif et transparent. Une séance plénière consacrée au code de bonne pratique sera organisée pour faciliter le processus itératif de rédaction; elle réunira tous les fournisseurs intéressés et éligibles de modèles d'IA à usage général, les fournisseurs en aval intégrant un modèle d'IA à usage général dans leur système d'IA, d'autres organisations sectorielles, d'autres organisations de parties prenantes telles que les organisations de la société civile ou les organisations de titulaires de droits, ainsi que le monde universitaire et d'autres experts indépendants. Le Bureau de l'IA a lancé un appel à manifestation d'intérêt pour la participation à l'élaboration du premier code de bonne pratique. Parallèlement à cet appel à manifestation d'intérêt, une consultation multipartite a été lancée afin de recueillir les avis et les contributions de toutes les parties intéressées concernant le premier code de bonne pratique. Les réponses et les observations constitueront la base de la première mouture de ce code de bonne pratique. Un large éventail de points de vue et une vaste expertise contribueront dès le départ à l'élaboration de ce code. La séance plénière sera structurée en quatre groupes de travail afin que puissent être menées des discussions ciblées sur des sujets spécifiques pertinents pour ce qui est de préciser les obligations qui incombent aux fournisseurs de modèles d'IA à usage général et à ceux de modèles d'IA à usage général présentant un risque systémique. Il sera loisible aux participants à la séance plénière de choisir le ou les groupes de travail auxquels ils souhaitent prendre part. Les réunions se tiendront exclusivement en ligne. Pour chacun des quatre groupes de travail de la séance plénière, le Bureau de l'IA nommera des présidents et, s'il y a lieu, des vice-présidents, choisis parmi les experts indépendants intéressés. Les présidents feront une synthèse des contributions et des commentaires des participants à la séance plénière en vue de rédiger par étapes le premier code de bonne pratique. En tant que principaux destinataires de ce code, les fournisseurs de modèles d'IA à usage général seront invités, en plus de leur participation à la séance plénière, à des ateliers spécialisés afin de contribuer à guider chaque cycle de rédaction itérative. Après neuf mois, la version définitive du premier code de bonne pratique sera présentée lors d'une séance plénière de clôture, prévue en avril, et sera publiée. Lors de cette séance plénière de clôture, les fournisseurs de modèles d'IA à usage général pourront indiquer s'ils entendent utiliser ce code."
